,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
426,Assist Other Agency ,5300 S. Dorchester (Public Way),10/31/15 6:52 PM,10/31/15 6:52 PM,UCPD officers observed a suspect displaying a weapon on the street off-campus / Suspect fled but was detained after a brief foot chase / a replica handgun was recovered / Suspect turned over to and arrested by CPD,CPD,E00722
427,Information / Robbery,5111 S. University (Alley),10/30/15 1:31 PM,10/30/15 12:55 PM,Unknown suspect took a wallet and cell phone from a victim walking in the alley off-campus / Victim reported no injuries / CPD case HY482359,CPD,
428,Burglary,1155 E. 60th St. (Harris School) ,10/30/15 1:16 PM,10/30/15 12:00 PM to 1:15 PM,"Unattended, unsecured laptop computer taken from desk top in cubicle / Investigation reveals an unknown, unauthorized suspect entered victim's office during the incident time frame",Open,E00715
429,Burglary,5110 S. Kenwood (Shelbyrne Apts.),10/30/15 2:09 PM,10/30/15 1:45 PM to 2:05 PM,Unknown person(s) made unlawful entry to off-campus apartment building and took contents of 5 packages that had been delivered to the mail room,Open,E00716
430,Lost Property,5706 S. University (Public Way),10/30/15 5:45 PM,10/30/15 4:55 PM to 5:00 PM,Individual reports losing keys and wallet before boarding shuttle bus,Closed,E00717
431,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1446094800,,,,,,
432,Lost Property,1118 E. 58th St. (Eckhart Hall),10/28/15 2:30 PM,10/28/15 10:20 AM to 10:25 AM,Individual reports losing wallet / Last seen while in 2nd floor classroom,Closed,E00712
433,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1445922000,,,,,,
434,Deceptive Practice,5505 S. Ellis (Maroon Credit Union),10/26/15 9:38 AM,10/21/15 to 10/26/15 2:15 PM to 9:30 AM,Fraudulent checks deposited to account,Open,E00707
435,Traffic Crash,5535 S. Ellis,10/26/15 1:03 PM,10/26/15 1:03 PM,"UC owned vehicle involved in traffic crash / Property damage only, no injuries reported / MVA00428",Closed,E00708
436,Void,Void,Void,Void,Number generated in error,Void,E00709
437,Lost Property,5706 S. University (Mandel Hall),10/25/15 1:59 AM,10/24/15 to 10/25/15 8:30 PM to 1:15 AM,Individual reports losing wallet between Kent Hall and Mandel Hall,Closed,E00703
438,Liquor Law Violation,1307 E. 60th St. (New Grad RH),10/25/15 2:53 AM,10/25/15 2:53 AM),Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00704
439,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),10/25/15 4:20 AM,10/25/15 4:20 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00705
440,Warrant Arrest,1009 E. 55th St. (Public Way),10/24/15 2:01 AM,10/24/15 2:01 AM,"UCPD officers arrested a subject wanted on a warrant from Clark County, KY",Arrest,E00701
441,Lost Property,915 E. 60th St. (Logan Center),10/24/15 2:24 PM,10/24/15 1:30 PM to 1:45 PM,Individual reports losing wallet in Logan Center or elsewhere on South Campus,Closed,E00702
442,Theft,1155 E. 57th St. (Quad Club),10/23/15 10:09 AM,10/22/15 7:30 PM to 9:30 PM,"Unattended, unsecured iPhone and notebook / planner taken from 1st floor coatroom",Open,E00696
443,Lost Property,5835 S. Greenwood (Stuart Hall),10/23/15 6:27 PM,10/23/15 4:45 PM to 5:30 PM,Individual reports losing purse between Stuart Hall and Burton-Judson RH,Closed,E00697
444,Theft,5815 S. Maryland (Mitchell Hospital),10/23/15 8:49 PM,10/23/15 10:55 AM to 12:15 PM,"Cell phone taken from unsecured, unattended jacket left in patient's room",Open,E00698
445,Information,5445 S. Ingleside (MacLean RH),10/23/15 8:46 PM,10/23/15 8:46 PM,Two individuals stuck on elevator / CFD responded and freed the pair / No injuries reported,Closed,E00699
446,Lost Property,Unknown,10/22/15 12:28 AM,10/21/15 12:30 PM to 12:20 AM,"Individual reports losing a laptop computer in possibly Cobb Hall, Kirsten Lab, or a CTA bus",Closed,E00688
447,Theft,1118 E. 58th St. (Eckhart Hall),10/22/15 1:48 PM,10/21/15 to 10/22/15 4:00 PM to 8:25 AM,Headphones taken from desktop in secured office,Open,E00689
448,Information,5700 S. Maryland (CCD),10/22/15 12:59 PM,10/22/15 11:20 AM,Individual approached a staff member seeking assistance / Admitted for mental health evaluation and treatment,Closed,E00690
449,Theft,Ellis between 54th &amp; 55th,10/22/15 4:34 PM,10/22/15 4:34 PM,UCPD officers observed a suspect take a parcel from the porch of a private off-campus residence / Subject arrested for theft,Arrest,E00691
450,Battery,5545 S. Greenwood (Construction Site),10/21/15 9:56 AM,10/20/15 4:45 PM,"During the course of a verbal dispute, victim struck by a co-worker / Victim declined to prosecute the known suspect ",Ex. Cleared,E00686
451,Information,5706 S. University (Reynolds Club),10/21/15 9:40 PM,10/21/15 9:40 PM,Defective toilet in the second floor washroom caused water to leak into first floor lobby / Facilities on scene,Closed,E00687
452,Theft,1100 E. 57th St. (Regenstein Bike Rack),10/20/15 12:37 AM,10/19/15 4:30 PM to 11:30 PM,Secured bicycle taken from bike rack,Open,E00679
453,Lost Property,901 E. 58th St. (Mitchell ER),10/20/15 12:54 AM,10/19/15 10:00 PM to 10:30 PM,Individual reports losing iPhone while in the hospital emergency room,Closed,E00680
454,Attempt Theft,5840 S. Kenwood (Construction Site),10/20/15 8:42 AM,10/18/15 3:00 PM to 5:00 PM,Unknown person(s) cut chain and moved a welding machine from a secured construction site to a location approx. 15 ft. outside the site,Open,E00681
455,Information / Robbery,5200 S. Greenwood ,10/20/15 12:41 PM,10/20/15 12:35 PM,Three unknown suspects took purses from two victims walking on the sidewalk off-campus / Suspects fled in a waiting vehicle / Victims reported no injuries / CPD case HY469296,CPD,
456,Information / Armed Robbery,5200 S. Lake Park,10/19/15 1:04 PM,10/19/15 12:40 PM,"Two suspects, one armed with a handgun, took a wallet and iPhone from a victim off-campus / CPD case",CPD,
457,Lost Property,6054 S. Drexel,10/19/15 1:34 PM,9/16/15 to 10/1/15 8:00 AM to 9:00 AM,A spare vehicle key and transponder to UC owned vehicle reported lost,Closed,E00676
458,Traffic Crash,5444 S. Ellis,10/19/15 4:06 PM,10/19/15 4:06 PM,UC owned vehicle stopped at stop sign struck in rear by another vehicle / No property damage or injuries reported / MVA00424,Closed,E00677
459,Criminal Damage to Vehicle,5530 S. Cottage Grove,10/19/15 7:48 PM,10/19/15 6:30 AM to 7:45 PM,Window of parked vehicle shattered,Open,E00678
460,Liquor Law Violation,1307 E. 60th St. (New Graduate RH),10/18/15 2:21 AM,10/18/15 2:21 AM,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00672
461,Liquor Law Violation,901 E. 58th St. (Mitchell ER),10/18/15 3:32 AM,10/1/15 3:32 AM,"Underage individual, who became ill after consuming alcoholic beverages, had been transported from 52nd &amp; Kimbark to ER by CFD EMS",Referred,E00673
462,Lost Property,1100 E. 57th St. (Regenstein Library),10/18/15 7:09 PM,10/18/15 5:50 PM to 6:10 PM,Individual reports losing phone while in the library,Closed,E00674
463,Non-Criminal / Damage to Property,5800 S. Stony Island (Shapiro Hall),10/18/15 8:57 PM,10/18/15 8:57 PM,Ground floor lobby window shattered / Outer pane of double-pane window broken / UC Facilities notified for board-up / cause unknown at this time,Closed,E00675
464,Non-Criminal /  Damage to Property,5758 S. Maryland (DCAM),10/17/15 10:42 AM,10/17/15 9:30 AM to 10:30 AM,Rear window of parked vehicle was shattered / Cause unknown at this time,Closed,E00670
465,Battery,5700 S. Maryland (CCD),10/17/15 10:41 AM,10/17/15 10:35 AM,Staff member bitten on arm and scratched on face while trying to restrain a disturbed patient / Victim declined to prosecute,Ex. Cleared,E00671
466,Injured Person,1130 E. Midway Pl.,10/16/15 12:14 AM,10/16/15 12:00 AM,Individual injured right ankle while playing soccer / Transported to ER by CFD EMS,Closed,E00668
467,Liquor Law Violation,5625 S. Ellis (Max Palevsky RH),10/15/15 2:23 AM,10/15/15 2:23 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00664
468,Theft,5530 S. Ellis (Ratner A.C. Bike Rack),10/15/15 9:13 AM,10/14/15 3:15 PM to 6:30 PM,Secured bicycle taken from bike rack,Open,E00665
469,Theft,1025 E. 57th St. (Culver Hall Bike Rack),10/15/15 5:37 PM,10/13/15 to 10/14/15 8:00 AM to 8:00 AM,Secured bicycle taken from bike rack,Open,E00666
470,Assist Other Agency / Criminal Sexual Assault,5714 S. Woodlawn (Fraternity House),10/14/15 9:38 AM,10/12/15 12:20 AM,UCPD assisted CPD in investigation of a reported criminal sexual assault by a known suspect / CPD case HY459056,CPD,E00661
471,Found Property,5500 S. Cornell (Public Way),10/14/15 11:09 AM,10/9/15 7:00 PM,Individual found a cell phone case containing miscellaneous cards and papers / Turned over to UCPD for safekeeping,Closed,E00662
472,Information,947 E. 58th St. (Abbot Hall),10/13/15 1:32 PM,10/13/15 1:32 PM,Water line burst in 3rd floor closet / CFD and UCM Plant Engineer on the scene,Closed,E00657
473,Lost Property,1100 E. 57th St. (Regenstein Library),10/13/15 2:52 PM,10/13/15 10:30 AM to 2:50 PM,Individual reports losing wallet somewhere on campus between 1414 E. 59th St. and 1100 E. 57th St.,Closed,E00658
474,Lost Property,1100 E. 57th St. (Shuttle Bus),10/13/15 7:54 PM,10/13/15 6:45 PM to 7:05 PM,Individual reports losing cell phone while on shuttle bus,Closed,E00659
